manufacturer,manufacturer_cat_no,vendor,description,price,quantity,unitprice,units,link,category,vendor_cat_no,special_conditions,delivery_time,listprice,vat,obs
Sarstedt AG & Co,70.760.202,SARSTEDT LDA,"Biosphere® pipette tip without filter, yellow, 200µl, type A, sterile,  DNA-, RNase- and ATP-free and non-pyrogenic, 96/box (colour code tray: yellow).",52.8,960,0.055,UN,WWW.sarstedt.com,Non-culture-plasticware,70.760.202,Room temperature,3 Days. No stock -15 days,0.07,21,
Sarstedt AG & Co,70.760.211,SARSTEDT LDA,"Biosphere® pipette tip with filter, neutral, 200µl, type C,  sterile,  DNA-, RNase- and ATP-free and non-pyrogenic, 96/box(colour code tray: yellow).",24,480,0.05,UN,WWW.sarstedt.com,Non-culture-plasticware,70.760.211,Room temperature,3 Days. No stock -15 days,0.08,21,
Sarstedt AG & Co,70.760.212,SARSTEDT LDA,"Biosphere® pipette tip with filter, yellow, 100µl, type A,  sterile,  DNA-, RNase- and ATP-free and non-pyrogenic, 96/box (colour code tray: yellow).",48,960,0.05,UN,WWW.sarstedt.com,Non-culture-plasticware,70.760.212,Room temperature,3 Days. No stock -15 days,0.08,21,
Sarstedt AG & Co,70.760.213,SARSTEDT LDA,"Biosphere® pipette tip with filter, yellow, 20µl (Gilson/Eppendorf), type A,  sterile,  DNA-, RNase- and ATP-free and non-pyrogenic, 96/box (colour code tray: yellow).",24,480,0.05,UN,WWW.sarstedt.com,Non-culture-plasticware,70.760.213,Room temperature,3 Days. No stock -15 days,0.08,21,
Sarstedt AG & Co,70.760.502,SARSTEDT LDA,"Pipette tip without filter, yellow, 200µl, type A, non-sterile, 480/StackPack (colour code tray: yellow). ",48,1920,0.025,UN,WWW.sarstedt.com,Non-culture-plasticware,70.760.502,Room temperature,3 Days. No stock -15 days,0.03,21,
Sarstedt AG & Co,70.760.592,SARSTEDT LDA,"Starter-Kit - Pipette tip without filter, yellow, 200µl (Gilson), type A, non-sterile, 3x480/StackPack+1xTip SystemBox.",33,1,33,UN,WWW.sarstedt.com,Non-culture-plasticware,70.760.592,Room temperature,3 Days. No stock -15 days,33,21,
Sarstedt AG & Co,70.762,SARSTEDT LDA,"Pipette tip without filter, blue, 1000µl, type B, non-sterile, 250/bag (colour code tray: blue).",10,1000,0.01,UN,WWW.sarstedt.com,Non-culture-plasticware,70.762,Room temperature,3 Days. No stock -15 days,0.01,21,
Sarstedt AG & Co,70.762.100,SARSTEDT LDA,"Pipette tip without filter, blue, 1000µl, type B, non-sterile, 100/box (colour code tray: blue).",28,1000,0.028,UN,WWW.sarstedt.com,Non-culture-plasticware,70.762.100,Room temperature,3 Days. No stock -15 days,0.04,21,
Sarstedt AG & Co,70.762.200,SARSTEDT LDA,"Biosphere® pipette tip without filter, blue, 1000µl, type B, sterile,  DNA-, RNase- and ATP-free and non-pyrogenic, 96/box (colour code tray: blue).",61,1000,0.061,UN,WWW.sarstedt.com,Non-culture-plasticware,70.762.200,Room temperature,3 Days. No stock -15 days,0.06,21,
Sarstedt AG & Co,70.762.211,SARSTEDT LDA,"Biosphere® pipette tip with filter, blue, 1000µl, type B, sterile,  DNA-, RNase- and ATP-free and non-pyrogenic, 96/box (colour code tray: blue) .",26,500,0.052,UN,WWW.sarstedt.com,Non-culture-plasticware,70.762.211,Room temperature,3 Days. No stock -15 days,0.08,21,
Sarstedt AG & Co,70.765,SARSTEDT LDA,"Pipette tip without filter, neutral, 300µl, type L, non-sterile (colour code tray: orange).",62,5000,0.012,UN,WWW.sarstedt.com,Non-culture-plasticware,70.765,Room temperature,3 Days. No stock -15 days,0.01,21,
Sarstedt AG & Co,70.765.210,SARSTEDT LDA,"Biosphere® pipette tip with filter, neutral, 300µl, type L,  sterile,  DNA-, RNase- and ATP-free and non-pyrogenic, 96/box (colour code tray: orange).",33.6,480,0.07,UN,WWW.sarstedt.com,Non-culture-plasticware,70.765.210,Room temperature,3 Days. No stock -15 days,0.09,21,
SARSTEDT INC.,70.1186,SARSTEDT LDA,"Pipette tip without filter, neutral, 1.250µl, type M, non.sterile, 384/bag (colour code tray: blue).",92.16,3840,0.024,UN,WWW.sarstedt.com,Non-culture-plasticware,70.1186,Room temperature,3 Days. No stock -15 days,0.02,21,
SARSTEDT INC.,70.1186.210,SARSTEDT LDA,"Biosphere® pipette tip with filter, 1.250µl, type M,  sterile,  DNA-, RNase- and ATP-free and non-pyrogenic, 96/box (colour code tray:blue).",44.16,384,0.115,UN,WWW.sarstedt.com,Non-culture-plasticware,70.1186.210,Room temperature,3 Days. No stock -15 days,0.12,21,
SARSTEDT INC.,70.1183.001,SARSTEDT LDA,"Pipette tip without filter, neutral, 5ml, type Gilson, with graduation, non-sterile, 250/bag.",15,250,0.06,UN,WWW.sarstedt.com,Non-culture-plasticware,70.1183.001,Room temperature,3 Days. No stock -15 days,0.06,21,
SARSTEDT INC.,70.1183.101,SARSTEDT LDA,"Pipette tip without filter, neutral, 5ml, type Gilson, with graduation, non-sterile, 50/box.",31.75,250,0.127,UN,WWW.sarstedt.com,Non-culture-plasticware,70.1183.101,Room temperature,3 Days. No stock -15 days,0.13,21,
SARSTEDT INC.,70.1183.002,SARSTEDT LDA,"Pipette tip without filter, neutral, 5ml, type Eppendorf, with graduation, non-sterile, 250/bag.",30,500,0.06,UN,WWW.sarstedt.com,Non-culture-plasticware,70.1183.002,Room temperature,3 Days. No stock -15 days,0.06,21,
SARSTEDT INC.,70.1183.102,SARSTEDT LDA,"Pipette tip without filter, neutral, 5ml, type Eppendorf, with graduation, non-sterile, 50/box.",31.75,250,0.127,UN,WWW.sarstedt.com,Non-culture-plasticware,70.1183.102,Room temperature,3 Days. No stock -15 days,0.13,21,
SARSTEDT Australia Pty. Ltd.,71.9923.210,SARSTEDT LDA,"Weight trays, PS, 128x128 – 250 ml",386,1000,0.386,UN,WWW.sarstedt.com,Non-culture-plasticware,71.9923.210,Room temperature,3 Days. No stock -15 days,0.39,21,
SARSTEDT Australia Pty. Ltd.,71.9923.211,SARSTEDT LDA,"Weight trays, PVC, 35x35 – 5 ml",382,2000,0.191,UN,WWW.sarstedt.com,Non-culture-plasticware,71.9923.211,Room temperature,3 Days. No stock -15 days,0.19,21,
SARSTEDT Australia Pty. Ltd.,71.9923.212,SARSTEDT LDA,"Weight trays, PVC, 72x72 – 70ml.",492,2000,0.246,UN,WWW.sarstedt.com,Non-culture-plasticware,71.9923.212,Room temperature,3 Days. No stock -15 days,0.25,21,
SARSTEDT INC.,65.1998.002,SARSTEDT LDA,"Multiply® PCR strips of 8 lids, optically clear, with flat lids, PCR Performence Tested Certified (Human DNA-, DNase-, Rnase-free), suitable for real-time PCR, compatible with 72.1978.202, 72.1979.202, 72.1979.203, 72.1980.202 e 72.1981.202.",48.96,480,0.102,UN,WWW.sarstedt.com,Non-culture-plasticware,65.1998.002,Room temperature,3 Days. No stock -15 days,0.1,21,
SARSTEDT K.f.t.,72.1978.202,SARSTEDT LDA,"96 well Multiply® PCR plate without skirt, 0,2ml, PCR Performence Tested Certified (Human DNA-, DNase-, Rnase-free).",250,100,2.5,UN,WWW.sarstedt.com,Non-culture-plasticware,72.1978.202,Room temperature,3 Days. No stock -15 days,2.5,21,
Sarstedt AG & Co,72.609,SARSTEDT LDA,"Microtube 2,0ml, PP, type I, with skirted base, without screw cap, non-sterile.",22,1000,0.022,UN,WWW.sarstedt.com,Non-culture-plasticware,72.609,Room temperature,3 Days. No stock -15 days,0.02,21,
Sarstedt AG & Co,72.690.001,SARSTEDT LDA,"Microtube 1,5ml, PP, with attached PP cap 90º, 39x10,8mm, neutral, with graduation, non-sterile.",10,500,0.02,UN,WWW.sarstedt.com,Non-culture-plasticware,72.690.001,Room temperature,3 Days. No stock -15 days,0.02,21,
Sarstedt AG & Co,72.706.200,SARSTEDT LDA,"Biosphere® SafeSeal microtube 1,5ml, PP, highly transparent, with wide hinge,  neutral, with graduation, sterile,  DNA-, RNase- and ATP-free and non-pyrogenic. Microtube for thermal application.",40,500,0.08,UN,WWW.sarstedt.com,Non-culture-plasticware,72.706.200,Room temperature,3 Days. No stock -15 days,0.08,21,
Sarstedt AG & Co,72.692,SARSTEDT LDA,"Microtube 1,5ml, PP, type D, without skirted base, with O-ring screw cap enclosed, non-sterile.",44,1000,0.044,UN,WWW.sarstedt.com,Non-culture-plasticware,72.692,Room temperature,3 Days. No stock -15 days,0.04,21,
Sarstedt AG & Co,72.692.005,SARSTEDT LDA,"Microtube 1,5ml, PP, type D, without skirted base, with O-ring screw cap assembled, sterile.",52,500,0.104,UN,WWW.sarstedt.com,Non-culture-plasticware,72.692.005,Room temperature,3 Days. No stock -15 days,0.1,21,
Sarstedt AG & Co,72.692.100,SARSTEDT LDA,"Microtube 1,5ml, PP, type D, without skirted base, with O-ring screw cap (attached loop) non-assembled, non-sterile.",505,5000,0.101,UN,WWW.sarstedt.com,Non-culture-plasticware,72.692.100,Room temperature,3 Days. No stock -15 days,0.1,21,
Sarstedt AG & Co,72.692.105,SARSTEDT LDA,"Microtube 1,5ml, PP, type D, without skirted base, with O-ring screw cap (attached loop) assembled, sterile.",53.5,500,0.107,UN,WWW.sarstedt.com,Non-culture-plasticware,72.692.105,Room temperature,3 Days. No stock -15 days,0.11,21,
Sarstedt AG & Co,72.693,SARSTEDT LDA,"Microtube 2,0ml, PP, type H, without skirted base, with O-ring screw cap enclosed, non-sterile.",52,1000,0.052,UN,WWW.sarstedt.com,Non-culture-plasticware,72.693,Room temperature,3 Days. No stock -15 days,0.05,21,
Sarstedt AG & Co,72.693.005,SARSTEDT LDA,"Microtube 2,0ml, PP, type H, without skirted base, with O-ring screw cap assembled, sterile.",57.5,500,0.115,UN,WWW.sarstedt.com,Non-culture-plasticware,72.693.005,Room temperature,3 Days. No stock -15 days,0.12,21,
Sarstedt AG & Co,72.693.105,SARSTEDT LDA,"Microtube 2,0ml, PP, type H, without skirted base, with O-ring screw cap (attached loop) assembled, sterile.",67.5,500,0.135,UN,WWW.sarstedt.com,Non-culture-plasticware,72.693.105,Room temperature,3 Days. No stock -15 days,0.14,21,
Sarstedt AG & Co,72.694,SARSTEDT LDA,"Microtube 2,0ml, PP, type I, with skirted base, with O-ring screw cap enclosed, non-sterile.",46,1000,0.046,UN,WWW.sarstedt.com,Non-culture-plasticware,72.694,Room temperature,3 Days. No stock -15 days,0.05,21,
Sarstedt AG & Co,72.694.005,SARSTEDT LDA,"Microtube 2,0ml, PP, type I, with skirted base, with O-ring screw cap assembled, sterile.",57.5,500,0.115,UN,WWW.sarstedt.com,Non-culture-plasticware,72.694.005,Room temperature,3 Days. No stock -15 days,0.12,21,
Sarstedt AG & Co,72.694.006,SARSTEDT LDA,"Microtube 2,0ml, PP, type I, with skirted base, with O-ring screw cap assembled, with writing space and graduation, sterile.",60.5,500,0.121,UN,WWW.sarstedt.com,Non-culture-plasticware,72.694.006,Room temperature,3 Days. No stock -15 days,0.12,21,
Sarstedt AG & Co,72.694.106,SARSTEDT LDA,"Microtube 2,0ml, PP, type I, with skirted base, with O-ring screw cap (attached loop) assembled, with writing space and graduation, sterile.",70,500,0.14,UN,WWW.sarstedt.com,Non-culture-plasticware,72.694.106,Room temperature,3 Days. No stock -15 days,0.14,21,
Sarstedt AG & Co,72.694.217,SARSTEDT LDA,"Biosphere® microtube 2,0ml, PP, type I, with skirted base, with O-ring screw cap (attached loop) assembled, with writing space and graduation, sterile,  DNA-, RNase- and ATP-free and non-pyrogenic.",105,500,0.21,UN,WWW.sarstedt.com,Non-culture-plasticware,72.694.217,Room temperature,3 Days. No stock -15 days,0.21,21,
Sarstedt AG & Co,72.695,SARSTEDT LDA,"SafeSeal microtube 2ml, PP,  with wide hinge, neutral, with graduation, non-sterile. Microtube for thermal application.",12.5,500,0.025,UN,WWW.sarstedt.com,Non-culture-plasticware,72.695,Room temperature,3 Days. No stock -15 days,0.03,21,
Sarstedt AG & Co,72.695.200,SARSTEDT LDA,"Biosphere® SafeSeal microtube 2ml, PP, highly transparent, with wide hinge,  sterile,  DNA-, RNase- and ATP-free and non-pyrogenic. Microtube for thermal application.",44,500,0.088,UN,WWW.sarstedt.com,Non-culture-plasticware,72.695.200,Room temperature,3 Days. No stock -15 days,0.09,21,
Sarstedt AG & Co,72.699,SARSTEDT LDA,"Microtubes 0,5ml, PP, with attached PP cap, 30x7,8mm, neutral, non-sterile.",15,1000,0.015,UN,WWW.sarstedt.com,Non-culture-plasticware,72.699,Room temperature,3 Days. No stock -15 days,0.02,21,
Sarstedt AG & Co,72.706,SARSTEDT LDA,"SafeSeal microtube 1,5ml, PP, with wide hinge,  39x10,8mm, netural, with graduation, non-sterile. Microtube for thermal application.",76,2000,0.038,UN,WWW.sarstedt.com,Non-culture-plasticware,72.706,Room temperature,3 Days. No stock -15 days,0.04,21,
Sarstedt AG & Co,72.730.003,SARSTEDT LDA,"Microtube 0,5ml, PP, type A, with skirted base, without screw cap, non-sterile.",250,5000,0.05,UN,WWW.sarstedt.com,Non-culture-plasticware,72.730.003,Room temperature,3 Days. No stock -15 days,0.05,21,
Sarstedt AG & Co,72.730.006,SARSTEDT LDA,"Microtube 0,5ml, PP, type A, with skirted base, with O-ring screw cap assembled, with writing space and graduation, sterile.",135,1000,0.135,UN,WWW.sarstedt.com,Non-culture-plasticware,72.730.006,Room temperature,3 Days. No stock -15 days,0.14,21,
Sarstedt AG & Co,72.730.106,SARSTEDT LDA,"Microtube 0,5ml, PP, type A, with skirted base, with O-ring screw cap (attached loop) assembled, with writing space and graduation, sterile.",165,1000,0.165,UN,WWW.sarstedt.com,Non-culture-plasticware,72.730.106,Room temperature,3 Days. No stock -15 days,0.17,21,
Sarstedt AG & Co,72.730.107,SARSTEDT LDA,"Microtube 0,5ml, PP, type A, with skirted base, with O-ring screw cap (attached loop) enclosed, with writing space and graduation, non-sterile.",775,5000,0.155,UN,WWW.sarstedt.com,Non-culture-plasticware,72.730.107,Room temperature,3 Days. No stock -15 days,0.16,21,
Sarstedt AG & Co,72.735.002,SARSTEDT LDA,"Multiply®-Pro PCR single tube, 0,5ml, with integral anti-contamination shield at the lid front, PCR Performence Tested Certified (Human DNA-, DNase-, Rnase-free).",60,1000,0.06,UN,WWW.sarstedt.com,Non-culture-plasticware,72.735.002,Room temperature,3 Days. No stock -15 days,0.06,21,
Sarstedt AG & Co,72.737,SARSTEDT LDA,"Biosphere® Multiply®-Pro PCR single tube, 0,2ml, with integral anti-contamination shield at the lid front, sterile,  DNA-, RNase- and ATP-free and non-pyrogenic.",80,1000,0.08,UN,WWW.sarstedt.com,Non-culture-plasticware,72.737,Room temperature,3 Days. No stock -15 days,0.08,21,
Sarstedt AG & Co,72.737.002,SARSTEDT LDA,"Multiply®-Pro PCR single tube, 0,2ml, without integral anti-contamination shield at the lid front, PCR Performence Tested Certified (Human DNA-, DNase-, Rnase-free).",50,1000,0.05,UN,WWW.sarstedt.com,Non-culture-plasticware,72.737.001,Room temperature,3 Days. No stock -15 days,0.05,21,
Sarstedt AG & Co,65.986.002,SARSTEDT LDA,"Multiply® PCR strips of 8 lids, optically clear, with dome lids, PCR Performence Tested Certified (Human DNA-, DNase-, Rnase-free), suitable for real-time PCR, compatible with 72.985, 72.985.002 and 72.985.992.",51,480,0.106,UN,WWW.sarstedt.com,Non-culture-plasticware,65.986.002,Room temperature,3 Days. No stock -15 days,0.11,21,
Sarstedt AG & Co,72.985.002,SARSTEDT LDA,"Multiply®- µStrip PCR, without lid, 0,2ml, neutral, PCR Performence Tested Certified (Human DNA-, DNase-, Rnase-free).",360,480,0.75,UN,WWW.sarstedt.com,Non-culture-plasticware,72.985.002,Room temperature,3 Days. No stock -15 days,0.75,21,
Sarstedt AG & Co,72.991.002,SARSTEDT LDA,"Multiply®- µStripPro PCR, witht attached lid, 0,2ml, neutral, PCR Performence Tested Certified (Human DNA-, DNase-, Rnase-free).",285,480,0.594,UN,WWW.sarstedt.com,Non-culture-plasticware,72.991.002,Room temperature,3 Days. No stock -15 days,0.59,21,
Sarstedt AG & Co,72.706.201,SARSTEDT LDA,"Biosphere® SafeSeal microtube 1,5ml, PP, highly transparent, with wide hinge,  neutral, with graduation, sterile,  DNA-, RNase- and ATP-free and non-pyrogenic, individually wrapped. Microtube for thermal application.",30.84,120,0.257,UN,WWW.sarstedt.com,Non-culture-plasticware,72.706.201,Room temperature,3 Days. No stock -15 days,0.26,21,
Sarstedt AG & Co,72.706.400,SARSTEDT LDA,"Biosphere® SafeSeal microtube 1,5ml, PP, highly transparent, with wide hinge,  neutral, with graduation, PCR Performence Tested Certified (Human DNA-, DNase-, RNase-free). Microtube for thermal application.",86,2000,0.043,UN,WWW.sarstedt.com,Non-culture-plasticware,72.706.400,Room temperature,3 Days. No stock -15 days,0.04,21,
Sarstedt AG & Co,73.662.500,SARSTEDT LDA,"Scintillation vial, HD-PE,  58x27mm, 20ml, screw cap enclosed.",50,500,0.1,UN,WWW.sarstedt.com,Non-culture-plasticware,73.662.500,Room temperature,3 Days. No stock -15 days,0.1,21,
SARSTEDT B.V.,73.68,SARSTEDT LDA,"Mini vials with safety standard cap, HD-PE,  56x15mm, 6ml, screw cap enclosed.",166,2000,0.083,UN,WWW.sarstedt.com,Non-culture-plasticware,73.68,Room temperature,3 Days. No stock -15 days,0.08,21,
SARSTEDT B.V.B.A.,77.1595.121,SARSTEDT LDA,"Safe container for the disposal of contaminated sharps, yellow with red lid, opening oval, 2.3 L.",14.85,10,1.485,UN,WWW.sarstedt.com,Non-culture-plasticware,77.1595.121,Room temperature,3 Days. No stock -15 days,1.49,21,
Sarstedt AG & Co,81.97,SARSTEDT LDA,Stirring rods with 120mm length.,120,10000,0.012,UN,WWW.sarstedt.com,Non-culture-plasticware,81.97,Room temperature,3 Days. No stock -15 days,0.01,21,
SARSTEDT INC.,82.1135,SARSTEDT LDA,"Petri dish for bacteriology, clear PS, 35x10mm, heat resistant up to 80ºC, with ventilation cams, gamma-sterile.",52.5,500,0.105,UN,WWW.sarstedt.com,Non-culture-plasticware,82.1135,Room temperature,3 Days. No stock -15 days,0.11,21,
SARSTEDT INC.,82.1184,SARSTEDT LDA,"Petri dish for bacteriology, clear PS, 150x20mm, heat resistant up to 80ºC, with ventilation cams, gamma-sterile.",62.7,100,0.627,UN,WWW.sarstedt.com,Non-culture-plasticware,82.1184,Room temperature,3 Days. No stock -15 days,0.63,21,
SARSTEDT INC.,82.1194,SARSTEDT LDA,"Petri dish for bacteriology, clear PS, 60x15mm, heat resistant up to 80ºC, with ventilation cams, gamma-sterile.",58.5,500,0.117,UN,WWW.sarstedt.com,Non-culture-plasticware,82.1194,Room temperature,3 Days. No stock -15 days,0.12,21,
Sarstedt AG & Co,82.1472,SARSTEDT LDA,"Petri dish for bacteriology, clear PS, 92x16mm, heat resistant up to 80ºC, without ventilation cams.",26.4,480,0.055,UN,WWW.sarstedt.com,Non-culture-plasticware,82.1472,Room temperature,3 Days. No stock -15 days,0.07,21,
Sarstedt AG & Co,82.1472.001,SARSTEDT LDA,"Petri dish for bacteriology, clear PS, 92x16mm, heat resistant up to 80ºC, without ventilation cams, gamma-steril.",57.12,480,0.119,UN,WWW.sarstedt.com,Non-culture-plasticware,82.1472.001,Room temperature,3 Days. No stock -15 days,0.12,21,
Sarstedt AG & Co,82.1473,SARSTEDT LDA,"Petri dish for bacteriology, clear PS, 92x16mm, heat resistant up to 80ºC, with ventilation cams.",26.4,480,0.055,UN,WWW.sarstedt.com,Non-culture-plasticware,82.1473,Room temperature,3 Days. No stock -15 days,0.07,21,
Sarstedt AG & Co,82.1473.001,SARSTEDT LDA,"Petri dish for bacteriology, clear PS, 92x16mm, heat resistant up to 80ºC, with ventilation cams, gamma-steril.",57.12,480,0.119,UN,WWW.sarstedt.com,Non-culture-plasticware,82.1473.001,Room temperature,3 Days. No stock -15 days,0.12,21,
SARSTEDT INC.,82.1581,SARSTEDT LDA,"Microtest plates from high-quality clear,  PS, with 96 well, without lid, flat bottom, 25/bag.",42.3,100,0.423,UN,WWW.sarstedt.com,Non-culture-plasticware,82.1581,Room temperature,3 Days. No stock -15 days,0.42,21,
SARSTEDT INC.,82.1581.001,SARSTEDT LDA,"Microtest plates from high-quality clear,  PS, with 96 well, without lid, flat bottom, steril, individually wrapped.",69.85,50,1.397,UN,WWW.sarstedt.com,Non-culture-plasticware,82.1581.001,Room temperature,3 Days. No stock -15 days,1.4,21,
SARSTEDT INC.,82.1582,SARSTEDT LDA,"Microtest plates from high-quality clear,  PS, with 96 well, without lid, round bottom, 25/bag.",42.3,100,0.423,UN,WWW.sarstedt.com,Non-culture-plasticware,82.1582,Room temperature,3 Days. No stock -15 days,0.42,21,
SARSTEDT INC.,82.1582.001,SARSTEDT LDA,"Microtest plates from high-quality clear,  PS, with 96 well, without lid, round bottom, steril, individually wrapped.",69.85,50,1.397,UN,WWW.sarstedt.com,Non-culture-plasticware,82.1582.001,Room temperature,3 Days. No stock -15 days,1.4,21,
SARSTEDT INC.,82.1583,SARSTEDT LDA,"Microtest plates from high-quality clear,  PS, with 96 well, without lid, conical bottom, 25/bag.",42.3,100,0.423,UN,WWW.sarstedt.com,Non-culture-plasticware,82.1583,Room temperature,3 Days. No stock -15 days,0.42,21,
SARSTEDT INC.,82.1584,SARSTEDT LDA,"Lid for microtes plates, PS, 25/bag. ",37,100,0.37,UN,WWW.sarstedt.com,Non-culture-plasticware,82.1584,Room temperature,3 Days. No stock -15 days,0.37,21,
SARSTEDT INC.,82.1586,SARSTEDT LDA,"Adhesive film for microtest plates, acetate foil (impermeable to air).",2.9,100,0.029,UN,WWW.sarstedt.com,Non-culture-plasticware,82.1586,Room temperature,3 Days. No stock -15 days,0.03,21,
SARSTEDT Australia Pty. Ltd.,82.9923.422,SARSTEDT LDA,"Petri dish square, PS,  clear PS, 100x100x20mm, without cams, heat resistant up to 80ºC, gamma-steril.",94.24,160,0.589,UN,WWW.sarstedt.com,Non-culture-plasticware,82.9923.422,Room temperature,3 Days. No stock -15 days,0.71,21,
SARSTEDT INC.,83.18,SARSTEDT LDA,"Tissue culture dish for adherent cells with SureGrip design, PS, growth area 8cm2, Ø 35mm, height 10mm, without grid, gamma-sterile.",74,500,0.148,UN,WWW.sarstedt.com,Tissue-culture,83.18,Room temperature,3 Days. No stock -15 days,0.2,21,
SARSTEDT INC.,83.1800.002,SARSTEDT LDA,"Tissue culture dish for suspension and hybridoma cells with SureGrip design, PS, growth area 8cm2, Ø 35mm, height 10mm, without grid, gamma-sterile.",50.5,500,0.101,UN,WWW.sarstedt.com,Tissue-culture,83.1800.002,Room temperature,3 Days. No stock -15 days,0.12,21,
SARSTEDT INC.,83.1801.002,SARSTEDT LDA,"Tissue culture dish for suspension and hybridoma cells with SureGrip design, PS, growth area 21cm2, Ø 60mm, height 15mm, without grid, gamma-sterile.",60,500,0.12,UN,WWW.sarstedt.com,Tissue-culture,83.1801.002,Room temperature,3 Days. No stock -15 days,0.14,21,
SARSTEDT INC.,83.1803,SARSTEDT LDA,"Tissue culture dish for adherent cells without SureGrip design, PS, growth area 152cm2, Ø 150mm, height 20mm, without grid, gamma-sterile.",73.7,100,0.737,UN,WWW.sarstedt.com,Tissue-culture,83.1803,Room temperature,3 Days. No stock -15 days,0.84,21,
SARSTEDT INC.,83.181,SARSTEDT LDA,"Tissue culture flasks for adherent cells with quick-release screw cap, PS, growth area 25cm2, 50ml volume, red PE cap without ventilation, angle neck, gamma-sterile, non-pyrogenic and non-cytotoxic.",101.7,300,0.339,UN,WWW.sarstedt.com,Tissue-culture,83.181,Room temperature,3 Days. No stock -15 days,0.51,21,
SARSTEDT INC.,83.1810.002,SARSTEDT LDA,"Tissue culture flasks for adherent cells with quick-release screw cap, PS, growth area 25cm2, 50ml volume, red PE cap with ventilation, angle neck, gamma-sterile, non-pyrogenic and non-cytotoxic.",137.4,300,0.458,UN,WWW.sarstedt.com,Tissue-culture,83.1810.002,Room temperature,3 Days. No stock -15 days,0.67,21,
SARSTEDT INC.,83.1810.302,SARSTEDT LDA,"Tissue culture cell+ flasks for sensitive adherent cells with quick-release screw cap, PS, growth area 25cm2, 50ml volume, yellow PE cap with ventilation, angle neck, gamma-sterile, non-pyrogenic and non-cytotoxic.",200.4,300,0.668,UN,WWW.sarstedt.com,Tissue-culture,83.1810.302,Room temperature,3 Days. No stock -15 days,0.87,21,
SARSTEDT INC.,83.1810.502,SARSTEDT LDA,"Tissue culture flasks for suspension and hybridoma cells with quick-release screw cap, PS, growth area 25cm2, 50ml volume, green PE cap with ventilation, angle neck, gamma-sterile, non-pyrogenic and non-cytotoxic.",120.3,300,0.401,UN,WWW.sarstedt.com,Tissue-culture,83.1810.502,Room temperature,3 Days. No stock -15 days,0.67,21,
SARSTEDT INC.,83.1812,SARSTEDT LDA,"Tissue culture flasks for adherent cells with quick-release screw cap, PS, growth area 175cm2, 650ml volume, red PE cap without ventilation, angle neck, gamma-sterile, non-pyrogenic and non-cytotoxic.",62.2,40,1.555,UN,WWW.sarstedt.com,Tissue-culture,83.1812,Room temperature,3 Days. No stock -15 days,2.02,21,
SARSTEDT INC.,83.1812.302,SARSTEDT LDA,"Tissue culture cell+ flasks for sensitive adherent cells with quick-release screw cap, PS, growth area 175cm2, 650ml volume, yellow PE cap with ventilation, angle neck, gamma-sterile, non-pyrogenic and non-cytotoxic.",87.52,40,2.188,UN,WWW.sarstedt.com,Tissue-culture,83.1812.302,Room temperature,3 Days. No stock -15 days,2.84,21,
SARSTEDT INC.,83.1813,SARSTEDT LDA,"Tissue culture flasks for adherent cells with quick-release screw cap, PS, growth area 75cm2, 250ml volume, red PE cap without ventilation, angle neck, gamma-sterile, non-pyrogenic and non-cytotoxic.",69.83,100,0.698,UN,WWW.sarstedt.com,Tissue-culture,83.1813,Room temperature,3 Days. No stock -15 days,0.82,21,
SARSTEDT INC.,83.1813.302,SARSTEDT LDA,"Tissue culture cell+ flasks for sensitive adherent cells with quick-release screw cap, PS, growth area 75cm2, 250ml volume, yellow PE cap with ventilation, angle neck, gamma-sterile, non-pyrogenic and non-cytotoxic.",114.2,100,1.142,UN,WWW.sarstedt.com,Tissue-culture,83.1813.302,Room temperature,3 Days. No stock -15 days,1.48,21,
SARSTEDT INC.,83.1813.502,SARSTEDT LDA,"Tissue culture flasks for suspension and hybridoma cells with quick-release screw cap, PS, growth area 75cm2, 250ml volume, green PE cap with ventilation, angle neck, gamma-sterile, non-pyrogenic and non-cytotoxic.",88.6,100,0.886,UN,WWW.sarstedt.com,Tissue-culture,83.1813.502,Room temperature,3 Days. No stock -15 days,1.27,21,
SARSTEDT INC.,83.1822.001,SARSTEDT LDA,"Filtropur V 25, filtration volume 250 ml, Ø membrane with 65mm, pore size 0,20µm, sterile, non-pyrogenic, non-cytotoxic, inidividual wrapped.",72,12,6,UN,WWW.sarstedt.com,Tissue-culture,83.1822.001,Room temperature,3 Days. No stock -15 days,12,21,
SARSTEDT INC.,83.1823,SARSTEDT LDA,"Filtropur V 50, filtration volume 500 ml, Ø membrana with 85 mm, pore size 0,45µm, sterile, non-pyrogenic, non-cytotoxic, inidividual wrapped.",144,12,12,UN,WWW.sarstedt.com,Tissue-culture,83.1823,Room temperature,3 Days. No stock -15 days,15,21,
SARSTEDT INC.,83.1823.001,SARSTEDT LDA,"Filtropur V 50, filtration volume 500 ml, Ø membrana with 85 mm, pore size 0,20µm, sterile, non-pyrogenic, non-cytotoxic, inidividual wrapped.",96,12,8,UN,WWW.sarstedt.com,Tissue-culture,83.1823.001,Room temperature,3 Days. No stock -15 days,15,21,
