SAP,NAME,ADDRESS,ZIPCODE,CITY,COUNTRY,PHONE,FAX,EMAIL,OBS,LINK
215043,LABORATÓRIO N. I. VETERINÁRIA,Estrada de Benfica nº 701,1500,Lisboa,PT,,,,,
215044,MARIA MANUEL VIEIRA DA FONSECA,"Rua de S. Bernardo, 41 - 2º Esqº",1200-824,LISBOA,PT,21 393 04 30,,mmvieira@ics.ul.pt,,
215045,METAMORFOSE TOTAL,RUA CIDADE DA BEIRA 65 -1º ES,1800-062,LISBOA,PT,,,,,
215051,BARROCAS & ALVES PEREIRASOCIEDADE DE ADVOGADOS,"Av. ENGº, D. PACHECO,EMP.AMOREIRAS",1070-274,LISBOA,PT,21 384 33 00,21 387 02 65,,,
215052,FERNANDO JOSE ALMEIDA CATROGA,"AV. DIAS DA SILVA, 26-r/c ESQº",3000-134,COIMBRA,PT,,,,,
215053,"CR5, LDA","RUA 5 DE OUTUBRO, 29 - 2º Fte",2775-562,CARCAVELOS,PT,,,,,
215054,FEITORIA-ACTIVIDADES HOTELEIRAS LDA,CASA DO ALTO - QT. DOS GAFANHOTOS,2775-734,S. DOMINGOS DE RANA,PT,214539931,214536975,,,
215055,LIDL & COMPANHIA,"RUA PÉ DE MOURO, 18 - LINHÓ",2714-510,SINTRA,PT,21 924 97 00,21 924 30 70,,,
215056,LILIANA FERNANDES,"RUA NOVAIS DA CUNHA, 8331 - 1º DT",4420-225,GONDOMAR,PT,,,,,
215057,PATRICIA PORTELA,"R. ALFERES BARRILARO RUAS, 50-6ºAC",1800,LISBOA,PT,,,,,
215058,CATARINA MARQUES A.VAZ PINTO,"TRAVESSA DA HORTA, 6-AP.14",1200-220,LISBOA,PT,21 347 00 27,,catarinavazpinto@gmail.com,,
215059,ANTONIO PINTO RIBEIRO,"R. GOMES DA SILVA, 3-1º Dtº",1000,LISBOA,PT,96 389 81 01,,apintoribeiro@gmail.com,,
215060,PEDRO ZEBRE PENIM,"R. FRANCISCO PEDRO CURADO, 6, 3º A",1170,LISBOA,PT,,,,,
215061,AIR FRANCEDELEGAÇÃO EM PORTUGAL,"AV. 5 DE OUTUBRO, 206-3º",1050-065,LISBOA,PT,21 790 02 20,21 790 02 40,,,
215062,ADOZINDA DE JESUS VAZQUES DINIZ,"RUA POETA BOCAGE, 4 1º ESQ",2925-348,AZEITÃO,PT,,,,,
215063,HELENA MARIA SANTOS LOPES,"R. GONÇALO VELHO CABRAL, 2 P.ARRABI",2980,Q. DO ANJO PALMELA,PT,,,,,
215065,ANA MARGARIDA L.T. ALMEIDA REBELO,"RUA DR. FARIA VASCONCELOS, 3-2º ESQ",1900-206,LISBOA,PT,,,,,
215066,MARGARIDA MARIA P.NOBREGA QUINTA,"R.ALFERES BARRILARO RUAS,11-R/C DTO",1800-007,LISBOA,PT,,,,,
215067,JOÃO CARLOS PIRES BRIGOLA,"RUA DE MOÇAMBIQUE, 25 - 2º",1170-243,LISBOA,PT,,,,,
215068,ISABEL BARROS DIAS," RUA DO 4 DE INFANTARIA, Nº 7 - 4º",1350-266,LISBOA,PT,91 982 94 97,,isabelbd@univ-ab.pt,,
215069,"EDIÇÕES FIRMAMENTO, LDA.",ESTRADA DA LUZ Nº 90 - 2º G,1600-160,LISBOA,PT,21 371 34 86,,,,
215070,B.I. A BALEIA DAS IDEIASASSOCIAÇÃO CULTURAL,R. JOÃO DA SILVA 16 - 15º ESQ.,1900,LISBOA,PT,,,,,
215072,SARA CARDOSO INACIO,"PRAC. GERVÁSIO LOBATO,1-5º DRTº",2745-783,MASSAMÁ,PT,,,saracardosoinacio@gmail.com,,
215073,PIETRO DRUMMOND ROMANI,"RUA NELSON DE BARROS, 13 - 4º ESQº",1900-354,LISBOA,PT,,,,,
215074,MARIANA ESTEVES XAVIER DE BASTO,PTA. GOMES LEAL 1-7ºE,2795-512,CARNAXIDE,PT,TLM 966577123,,,,
215075,ANTÓNIO TEIXEIRA FERNANDES,"Rua Flower, 285  Canidelo",4400,VILA NOVA DE GAIA,PT,,,,,
215076,CÂNDIDO MARCIANO DA SILVA,"Rua Diogo Cão, nº 6 - 12ºE",2685-197,PORTELA-LRS,PT,96 401 05 34,,cms@netvisao.pt,,
215080,ANTONIO ARTUR CASTRO PROLE,"Pct  António Silva, nº 3 - 2º Dto.",2840,SEIXAL,PT,91 784 40 75,,prole.atxaga@gmail.com,,
215081,MARIA FILOMENA SOARES DIAS,"R JOÃO DA SILVA, 2 - 7º ESQ",1900-271,LISBOA,PT,,,,,
215082,JOSE MIGUEL RAMOS DE ALMEIDA,"ALAMEDA CONDE DE OEIRAS,87",2780,OEIRAS,PT,21 443 12 55,,,,
215083,SIRIUS PROD EMBALAGEM LDA,R QTª DO BOM RETIRO Nº16 ARM 1-V FI,2820-690,CHARNECA DA CAPARICA,PT,21 254 98 00,21 254 98 09,geral@sirius-embalagem.pt,,
215084,"LABORATORIOS PFIZER, LDA.",Apartado 30,2831-906,Coina,PT,212 278 217 / 00,212 278 205,,,
215085,JOSE GABRIEL TRINDADE DOS SANTOS,R PROF LIMA BASTOS 95-1º,1070-211,LISBOA,PT,91 877 52 92,,trindad@mail.telepac.pt,,
215086,CARLA ALEXANDRE DE JESUS CARRASCO,"URB.J.PAREDE,P.D.PALMEIRAS,LT.138 R",2775,PAREDE,PT,21 466 02 93,,,  Tlm: 919348061,
215087,"AMBTC-C.P.S.N.S.I., UNIPESSOAL, LDA","URB ALTO DO LUMIAR, MALHA 15 2E 7ºB",1750,LISBOA,PT,962 425 793,21 755 13 73,,,
215089,ANA MADALENA BARROS RUIVO,R DA PALMEIRA 43 4º,1200-312,LISBOA,PT,,,aruivo@hotmail.com,,
215090,TRIBUNA DA HISTÓRIA ED LIV REV LDA,"R. VASCO DA GAMA, 60-C",2775-297,PAREDE,PT,211910543,214678719,,,
215091,LUIS PAULO RIBEIRO MACHADO CASTRO,"RUA DO FLOWER, 399 - R/C",4400,CANIDELO -  VILA NOVA DE GAIA,PT,,,,,
215092,RUI ALVES CAETANO,RUA ANTÓNIO REIS - 3 LINHÓ,2710, SINTRA,PT,,,,e-mail,
215093,MARIA JOÃO RENTE GOMES,R GENERAL PIMENTA DE CASTR 14-1ºDTº,1700-219,LISBOA,PT,962450300,,,,
215094,MIGUEL DE FIGUEIREDO GOMES,R ACADEMIA RECREATIVA 7-2º D,1300,LISBOA,PT,,,,,
215095,JOSE MANUEL DE OLIVEIRA MENDES,"VILA  CANDIDA Nº 11, R/C,ESQ.",1170,LISBOA,PT,,,,,
215096,O RESTO - ASSOCIAÇÃO CULTURAL,"TRAVESSA DE SANTOS, 11 - 2º",1200-809,LISBOA,PT,,,,,
215097,FRANCISCO SILVA PEREIRA,"RUA D. JOÃO DE CASTRO, 11",2725-335,MEM MARTINS,PT,,,fsilvapereira@netcabo.pt,,
215098,"CARLOS MANUEL GOMES ZACARIASTrabalhos Encadernação, Tip Offset",TRAVESSA ANDRE VALENTE  27,1200-024,LISBOA,PT,21 347 84 46,,,,
215099,"NORMAX, FAB.VIDROS CIENTIFICOS","Rua Stª Isabel, 17 - Apartadot 23",2431-955,Marinha Grande,PT,244 572 060/4,213 516 246,normax@normax.pt,,
215100,"PLACALOGICA SUPORT TEC INF, LDA.",Rua Fernão Lopes nº9 5º Dtº,1000-132,Lisboa,PT,213521206,213533955,placalogica@.mail.telepac.pt,,
215101,PALAVRA CHAVE COMUNICAÇÃO LDA.,VOLTA DO DUCHE 14 - 1º,2710-631,SINTRA,PT,,,,,
215103,"DANZAS, LDA","URBANIZAÇÃO DO PASSIL, LOTE 93-A",2890-171,ALCOCHETE,PT,21 230 7000,21 230 7181,,,
215104,"STAB VIDA, LDA.MADAN PARQUE","RUA DOS INVENTORES S/N, SALA E 2.19",2825-182,CAPARICA,PT,210 438 606,210 438 608,info@stabvida.com,,
215106,OLÍVIA MARIA FIGUEIREDO,"R da Fonte da Moura, 654",4100-252,PORTO,PT,,,,,
215107,ANTONIO JOSE SANTOS BRANCO VASCO,"Rua da Terra do Linhó, 6",2710-444, SINTRA,PT,,,,,
215108,"SOC.AGRIC.QUINTA DA FREIRIA, S.A.",QUINTA DA FREIRIA - BOMBARRAL,2540-671,ROLIÇA,PT,262 609 000,262 606 143,geral@avibom.pt,,
215109,DIMOR COM. IND. PROD.HIGIENE LDª,Rua Maria 36-B,1170-211,LISBOA,PT,21 816 66 43,21 814 58 71,,,
215114,OISENA MAT ELECT ILUMINAÇÃO LDA,AV DOS CORREIOS 267,3886-909,ESMORIZ CODEX,PT,25 675 02 30,25 675 17 34,oisena@mail.telepac.pt,,
215115,Sylvie Canape,Rua Tenente Ferreira Dur nº 12-4ºDt,1300-350,LISBOA,PT,,,,,
215116,"INTERPILHAS-IMP COM ELE PILHAS, LDA",ESTRADA DA PAIA LOTE 7-G,1675-077,ODIVELAS,PT,21 478 96 30,21 478 96 39,geral@interpilhas.com,,
215117,RITA GERTRUDES VENCES MILHEIRAS,"Prac 1º de Dezembro, 14-2º Esqº.",2675-430,ODIVELAS,PT,,,,,
215118,ANABELA LOPES ALVES,"Prc Natália Correia,Lt 30 C R/C Dt.",2775-000,PAREDE,PT,,,,,
215119,MANUEL JOSÉ CORREIA RODRIGUES,"R Damião de Góis, Lote 1716 1º. Dt.",2975-264,QUINTA DO CONDE,PT,,,,,
215120,NÚCLEO EXPERIMENTAÇÃO COREOGRÁFICA,"R DE S. ROQUE DA LAMEIRA, 2129",4050,PORTO,PT,,,,,
215123,RODRIGO DE SA NOGUEIRA SARAIVA,R.Conselheiro Lopo Vaz Lt. AB-3º D,1800-142,LISBOA,PT,,,,,
215124,CÃNDIDA FERNANDA RIBEIRO,"RUA PÊRO VAZ DE CAMINHA, 107",4400-246,VILA NOVA DE GAIA,PT,,,,,
215125,MARIA JULIETA SAMPAIO,"COSTA DO CASTELO, 16 R/C",1100-179,LISBOA,PT,,,,,
215126,RUI LEANDRO DA COSTA MAIA,"RUA AUGUSTO SIMOES, 1490-4º ESQº",4470-147,MAIA,PT,,,,,
215127,JOSÉ PEREIRINHA RAMALHO,"RUA MESTRE RODRIGO, Nº 21",2815-746,Q.DA CARC.  SOBREDA,PT,,,,,
215128,ADRIANA SILVA GRAÇA,"RUA ILHA DO PICO, Nº 30 - 2º",1000-170,LISBOA,PT,,,,,
215129,ROSA FERREIRA NOVO,"RUA CAPITÃES DE ABRIL, Nº 14-9º E",2700-154,AMADORA,PT,,,,,
215131,ALESSANDRO COUTINHO RAMOS,"RUA DA QUINTA GRANDE, 6",2780-156,OEIRAS,PT,,,,,
215132,"LABOSISTEMA - COMERCIO DE EQUIP.E PROJ. PARA LAB. E INDUSTRIA , LDA",ESTRADA CONSIGLIERI PEDROSO Nº71-ED,2730-055,BARCARENA,PT,21 430 79 90/93,21 430 79 99,info@labosistema.pt,,
215134,MARILIA MARIA P. JACINTO MIRA,"TRAVESSA DA PORTUGUESA, 19 - 1º ESQ",1200-351,LISBOA,PT,,,,,
215135,FERNANDO JORGE F. FONSECA RIBEIRO,"PRACETA ANTÓNIO ALEIXO, 24 - 2º ESQ",2795-021,CARNAXIDE,PT,,,,,
215136,TERESA MARGARIDA COSTA SILVA PRIMA,"RUA LEITE VASCONCELOS,17 - 1º ESQ",1170-097,LISBOA,PT,,,,,
215137,RITA ISABEL MARREIROS RAPOSO,"RUA DO PARQUE, LOTE 3 - 2ºDTO",2840,SEIXAL     T.DA MARINHA,PT,,,,,
215138,DIANA NOGUEIRA RODRIGUES CONDE,"LARGO DO FIGUEIREDO, 6 - 1ºFTE",1400-150,LISBOA,PT,,,,,
215139,PEDRO MIGUEL CASTRO DE ALMEIDA,"PR. JOÃO DE BARROS, BL 44 - 2º ESQ",4810-099,GUIMARÃES,PT,,,,,
215140,ISABEL CRISTINA FERNANDES SALGADO,"RUA ALEXANDRE HERCULANO, 54 - 2ºDTO",4800,GUIMARÃES,PT,,,,,
215141,CARLA CABANAS,R. COVA DOS BARROS PONTE DA BICA,2675,RAMADA,PT,,,,,
215146,PLP PROF. LAMPADAS,"Av. do Forte, 4 Fracção C",2790-071,Carnaxide,PT,214 241 639,214 241 649,,,
215147,ARMAMDO TEIXEIRA,"RUA GUERRA JUNQUEIRO,31-1º ESQº",2605-090,BELAS,PT,,,,,
215148,RITA CORTEZ PINTO,"RUA JOSE CARDOSO PIRES, 3 2º DRTº",1750-430,LISBOA,PT,96 884 26 36,,ritacortezpinto@hotmail.com,,
215149,ANA MARIA AZINHEIRA RUNKEL,"Rua A Gazeta de Oeiras, 10-1ºdto.",2780-171,OEIRAS,PT,,,,,
215150,"BRITOGRAFICA, ARTES GRAFICAS, LDA","QUINTA DO CORUJINHO, ARMAZÉM 13",2685,CAMARATE,PT,21 948 70 25,,britografica@mail.telepac.pt,,
215151,CLAUDIA SUSANA T.LEONARDO DIAS,Av. Defensores de Chaves nº 54-7ºEs,1000-120,LISBOA,PT,,,,,
215152,UNIVERSIDADE DO MINHO,LARGO DO PAÇO,4704-553,BRAGA,PT,253 601 143,253 601 163,,,
215153,LUÍS CARLOS R. M. ROLABYBLOS-arte,"Rua Cais do Alboi, 5 - 1º Frente",3810-045,AVEIRO,PT,234 378460,234 378466,byblos.arte@net,,
215154,"FISHER SCIENTIFIC, LDA.","R.PEDRO ALVARES CABRAL, 24 - 3º D",2670-391,LOURES,PT,21 425 33 50,21 425 33 51,pt.fisher@thermofisher.com,era FSG-PROD.COM.PRO.BIOTCN.UP-LDA,
215155,"FISICASA-PROMOÇÃO INTERIORES, LDA.","R JOÃO DE DEUS, 753",4100-462,PORTO,PT,22 608 4830,22 600 1448,fisiomatica@mail.fisiomatica.pt,,
215156,STAG LDA,"Rua D.João V, 2-3ª",1269-103,LISBOA,PT,21 393 23 45,21 393 29 49,sbranco.vfix@stag.pt,,
215157,MUNDO DAS CHAVES,Av. Dom Dinis 68A - Loja 59,2675-328,ODIVELAS,PT,21 933 58 30,21 934 87 56,,,
215158,JOSÉ MANUEL DIAS FERREIRA DE JESUS,Av .Eng. Valente Oliveira 9-2º dtº,2780-000,Porto Salvo,PT,,,,,
215159,"Restaurante Albapólvora, Lda.Fábrica da Pólvora de Barcarena","Estrada das Fontainhas, Edifício 48",2745,Barcarena,PT,214382073,214211089,,,
215160,GRAVOMECANICA,"R DOS FANQUEIROS, 235 2º",1100-229,LISBOA,PT,21 887 38 94,21 887 38 31,gravomecanica@mail.telepac.pt,,
215161,HEIDRICK & STRUGGLESConsultants in Executive Search,AV DA LIBERDADE 180 E - 7º,1250-146,LISBOA,PT,21 351 45 30,21 351 45 40,lisbon@heidrick.com,,
215162,PEDRO NUNES GARCIA,"RUA DA ROSA, 9 - 3º DRTº",1200-381,LISBOA,PT,,,,,
215163,MIGUEL MARIA VIANA PALHA DA SILVA,"EST. DE TELHEIRAS, 102 D, MORADIA C",1600-771,LISBOA,PT,21 837 16 99,21 837 17 12,miguelpalha@diferencas.net,,
215164,ANTONIO FERNANDO CORREIA DE CAMPOS,Rua Padre António Vieira 15-4ºD,1070-195,LISBOA,PT,,,,,
215165,HENRIQUE J F G LECOUR DE MENEZES,"R. ANTÓNIO AROSO, 115",4100-062,PORTO,PT,,,henrique.lecour@netcabo.pt,,
215166,NUNO MARQUES PROENÇA,RUA RODRIGO DA FONSECA 149-2 ESQ.,1070-242,LISBOA,PT,,,,,
215167,MARGARIDA B DE NORONHA A DE ALPUIM,RUA LUIS PASTOR DE MACEDO L-6-11ºDT,1750-156,LISBOA,PT,21 758 86 40,,,,
215168,MANUEL LUIS B.DA CRUZ BAGANHA,RUA JOSÉ JOAQUIM DE FREIT L-1 R/C A,2750,CASCAIS,PT,,,,,
215169,FILIPE MARIA AMADO COSTA ALMEIDA,RUA TENENTE RAUL CASCAIS 7-R/C,1250-268,LISBOA,PT,,,,,
215170,BERNARDO M.POMBO BRAGA DA CRUZ,RUA DOS FERREIROS À ESTRELA 73-3º,1200-672,LISBOA,PT,21 390 43 50,,,,
215171,ANTÓNIO DA GAMA CARVALHO NORTON,RUA MARGARIDA PALLA 5-7º A,1495-143,MIRAFLORES,PT,,,,,
215172,ANTÓNIO CARRUSCA PIMENTA DE BRITO,URBANIZAÇÃO DO FALCÃO 502-3º B,1675-000,PONTINHA,PT,,,,,
215173,"SEQUEIRA, VIEIRA & PIRES",R SEBASTIÃO SARAIVA LIMA 14,1170-346,LISBOA,PT,21 814 60 88,21 814 51 34,svp@svp.pt,,
215174,LUZ NATURAL FOTOGRAFIAS,"R S. Filipe Neri, 26 - 3º Esq",1250,Lisboa,PT,21 388 04 98,,,NÃO SE CONSEGUE CONTACTO,
215175,TRIBUNAL DE CONTAS,AVENIDA BARBOSA DO BOCAGE 61,1069-045,LISBOA,PT,,,,,
215176,PAULA MORÃO,"RUA DOS ESCRITORES, 3-11º D",2685-206,LISBOA,PT,,,pmorao@netcabo.pt,,
215177,"POLIEDRO, LDA.CENTRO DE PROJECTOS DE CONSTRUÇÃO","R. CAMPO ALEGRE, 1306-SALA 106 /110",4150-174,PORTO,PT,22 607 89 40,22 607 89 49,poliedro@mail.telepac.pt,,
215179,DOM CARLOS HOTEIS,"AV. DUQUE DE LOULÉ, 121",1050-089,LISBOA,PT,21 317 35 70,21 352 02 72,comercial@domcarloshoteis.com,,
215180,JOÃO BIGOTTE CHORÃO,"AV. PRAIA DA VITÓRIA, 5-4º ESQ.",1000-245,LISBOA,PT,,,,Não tem e-mail,
215181,RAMIRO TEIXEIRA,"R. Oliveira Monteiro, 84-3º Esq.",4050-438,PORTO,PT,,,,,
215182,CARLOS PIO,"R. São João de Deus, 25-6º Esq.",6000-083,CASTELO BRANCO,PT,,,cpio@mail.telepac.pt,,
215183,VENTURA & LIMA LDAFLORISTA MALMEQUER,"AV MIGUEL BOMBARDA, 59",1050-161,Lisboa,PT,21 314 84 64,,,,
215184,DANIELA MARIA ROD BRITO GONÇALVES,"RUA DOS SAPATEIROS, Nº207, 5º DT",1100-578,LISBOA,PT,,,,,
215185,PATRICIA ISABEL SOBRAL ROSAS,"RUA ALVES REDOL, 1 - 1º ESQ",1000-029,LISBOA,PT,,,patrosas25@gmail.com,VER NOTA,
215186,NESCHEN PORTUGAL SA,"RUA DA CRUZ,75 ELOSPARQUE-ED.12/13",2725-193,MEM MARTINS,PT,21 926 72 20,21 926 49 86,comercial@neschen.pt,,
215187,"EMI VALENTIM CARVALHO, MUSICA Lda.",AL.OCEANOS-Ed. LISB.LT.2.11.01-P.2,1998-020,LISBOA P.DAS NAÇÕES,PT,21 891 01 00,21 891 01 06,,,
215188,CARLOS DANIEL PAULINO,"Av da Quinta grande, 14 - 5ºA",2720-485,ALFRAGIDE,PT,21 841 70 40,21 841 70 48,dpaulino@matta.ist.utl.pt,,
215189,MARIA ANTÓNIA CONC AMARAL TURKMA,"Praceta das Folias, Lote 8A",2775-485,PAREDE,PT,,,,,
215191,INÊS MARGARIDA PEREIRA PEDROSA,"Avenida Álvaro Pais, lote B/C-1º es",1600-007,LISBOA,PT,,,,enviado e-mail p/serviço 21/10/09 jr,
215192,ARVORES & PESSOAS LDª,R. DR. PAULO FALCÃO 94,3050-357,MEALHADA,PT,231 205 243,231 205 544,geral@arvores-e-pessoas.com.pt,,
215193,"MACORELI & CUNHA GOMES, SA.",R PROF REINALDO SANTOS 11-A,1500-501,LISBOA,PT,21 771 01 10,21 774 17 10,macoreli@macorelicunhagomes.pt,,
215194,SÓNIA MESTRE CONCEIÇÃO DA LUZ,"RUA FERREIRA DE CASTRO, LOTE 36",2835-250,VALE DO AMOREIRA,PT,966574333,,,,
215195,PAULO JORGE GARCIA PEREIRA,"AV. 5 DE OUTUBRO, 198 - 3º D",1050-064,LISBOA,PT,,,,enviado e-mail p/serviço 01/07/09 jr,
215196,MARIA CRISTINA CANOTILHO GRACIO,"R. PROF. HERNÂNI CIDADE, Nº 7-8ºJ",1600-630,LISBOA,PT,,,,,
215197,MARIA TERESA G.L.FERREIRA CALADO,"R. PROF.HENRIQUE VILHENA, Nº7-2ºE",1600-627,LISBOA,PT,,,,,
215198,CARLOTA G. FERREIRA DO CANTO LAGIDO,R. ACTOR ANTÓNIO CARDOSO 8-R/C ESQ.,1900-011,LISBOA,PT,,,,,
215199,JOSÉ MANUEL RESENDE,"R.CIDADE RIO JANEIRO, 15-5º D",2735-659,CACÉM   S. MARCOS,PT,,,,,
215200,ISABEL MARGARIDA DUARTE,"R.D.DOMINGOS P.BRANDÃO, Nº106-2ºDTO",4150-279,PORTO,PT,,,,,
215201,AREAL EDITORES SA,R D MARCOS DA CRUZ 1381/1395,4455-482,PERAFITA,PT,22 994 22 45,22 994 22 46,areal@arealeditores.pt,,
215202,MARIA DIAS T.BARBOSA DE MATOS,Rua Prof. Sampaio Carval 82 - 7º Es,4780-533,SANTO TIRSO,PT,,,,,
215203,Patrícia Proença,"Rua da Palma, 219 - 5º E",1100-391,LISBOA,PT,,,,,
215204,OANA RALUCA CSISZER,"RUA DE PEDROUÇOS, 42 - 5º",1400-290,LISBOA,PT,,,,,
215205,BENTO JOSÉ FERREIRA MURTEIRA,"AV. DA REPÚBLICA, 48 - 5º E",1050-195,LISBOA,PT,,,,,
215206,JOSE ALEXANDRE CARDOSO MARQUES,"RUA MOUZINHO DA SILVEIRA, Nº80",4050, PORTO,PT,96 311 06 68,,cardosomarques@hotmail.com,,
215207,FELIX MONTEIRO NETO,"RUA ANTÓNIO PATRÍCIO, 28 - 1º",4150,PORTO,PT,,,,,
215208,LUIS CHIMENO GARRIDO,"RUA FREITAS GAZUL, 14 - 2º ESQº",1350-149,LISBOA,PT,21 847 82 59,,chimeno.garrido@netcabo.pt,,
215209,GRAU 3 PAPELARIAS LDA,R NOVA DO ZAMBUJAL Nº 3-A,2735-302,CACÉM,PT,21 913 36 92,21 914 06 58,grau3@mail.telepac.pt,,
215210,AUTO MAGUE COM REP AUTOMOVEL LDA,"Rua do Arco do Carvalhão , 144 - A",1350-025,LISBOA,PT,21 385 89 01,21 385 89 01,automague@sapo.pt,,
215211,DATA LABEL PORTUGAL LDA, R.D.Luis Noronha.N.22A,1050-072,LISBOA,PT,21 791 06 64,21 791 06 77,rui.nascimento@datalabel.pt,,
215212,PEDRO EIRAS,"Av. Menéres, nº 234, Bl 7, 4ºFr",4450-001,MATOSINHOS,PT,,,eiras_pedro@yahoo.com,,
215214,JOÃO BORGES DA CUNHA,AV DAS TÚLIPAS 37  11º ESQ,1495-161,ALGÉS,PT,,,,,
215215,CIAL  CENTRO DE LINGUASDEP DE LINGUAS ESTRANGEIRAS,"Av da República, 14 - 2º",1050-191,LISBOA,PT,21 794 04 48,21 796 07 83,cialis@mail.telepac.pt,,
215216,"GOODTONERRecicl.Consumíveis Informáticos,Lda",Edificio Tekelec - Chão de Murches,2750-903,Cascais,PT,21 485 74 80,21 485 74 81,,,
215217,CINEMATECA PORTUGUESAMUSEU DO CINEMA,"RUA BARATA SALGUEIRO, 39",1269-059,LISBOA,PT,21 359 62 00,21 352 31 80,ana.rigueira@cinemateca.pt,e-mail,
215218,EURICO ROSADO,"Rua Vasco Santana, 2 - 3º Esqº",2790-158, Carnaxide,PT,,,rosado.eurico@clix.pt,VER NOTA,
215219,ROMULO DE SOUSA MELO ASSIS,POUSADA LAMELAS,4825-250,SANTO TIRSO,PT,,,,,
215220,ARLINDO SILVA ARTES GRAFICAS LDA.,R MAJOR JOÃO LUIS DE MOURA PAV-BE,1685,FAMÕES,PT,21 478 96 60,21 478 96 69,marcosp@arlindosilva.pt,,
215221,BONSAI TECHNOLOGIES,APARTADO 114,2796-902,LINDA-A-VELHA,PT,21 414 13 28,214141329,geral@bonsaitech.com,"FISHER SCIENTIFIC, LDA.",
215222,ANA MADALENA MOREIRA,"RUA SOEIRO PEREIRA GOMES, 17",2845-387, AMORA-PAIVAS,PT,,,,,
215223,EXTRAMUROS,"R DA BELA VISTA, 110 4º A",2825-118,MONTE DA CAPARICA,PT,21 295 85 21,,extramuros@oniduo.pt,,
215225,JOAO MINHOTO MARQUES,"Al.Conde Oeiras, torre H,r/c-Dt.º",2780-139,OEIRAS,PT,,,,,
215226,RECURSOS HUMANOS MAGAZINE,R DO MERCADO 7,1800-271,LISBOA,PT,21 855 12 03,21 855 12 04,geral@editorarh.pt,,
215227,REBECCA JAYNE BAKER,"TRAVESSA DE SÃO PLÁCIDO, 46 3 ESQ.",1250-854,LISBOA,PT,966322535,,,,
215228,ANTONIO CARLOS CORTEZ,"CALÇ. TOJAL, Nº 65 2º ESQ.",1500-592,LISBOA,PT,,,letracortez@hotmail.com,,
215229,MARGARIDA MADUREIRA,"R.S.Sebastião Pedreira,10,4°Esq.",1050-208,LISBOA,PT,,,,,
215230,DANIEL ROWLAND,"CC St. Amaro, 150 - 3º Dt",1300, LISBOA,PT,,,,,
215231,HEDLEY JAMES BENSON,"R DE SERRALVES, 630 - 3º DT",4150-730,PORTO,PT,,,,,
215232,NUNO SEVERIANO TEIXEIRA,"RUA JOÃO DIAS, 37 - 3º DTº",1400-219, LISBOA,PT,,,,,
215233,VERA MARIA QUINTELA DE CAMPOS ALVEL,"RUA DAMASCENO MONTEIRO, 63 - 3º",1170-150,LISBOA,PT,,,veralvelos@hotmail.com,VER NOTA,
215234,"ÉVORAHOTELINVESTIMENTOS IMOB.E TURISTICOS, SA","AV.TÚLIO ESPANCA, APARTADO 93",7002-502,ÉVORA,PT,266 748 800,266 748 806,,,
215235,LUÍS CARLOS FERREIRA DE MATOS,"RUA LUCIANO CORDEIRO, 18-5 ESQ.",1150-126,LISBOA,PT,,,,,
215236,MARIA ROSARIO FERREIRA MONTEIRO,"R. Alfredo Silva, 11-1º Dtº",1300-040,LISBOA,PT,,,,,
215237,NIPO-IBERICA,R FRATERNIDADE OPERARIA 6,2795-491,CARNAXIDE,PT,21 424 69 50,21 424 69 59,nipoiberica@iol.pt,,
215238,"GUARDA MOR, LDA.",R DO LUMIAR LT 1238 Lj B,1750-162,LISBOA,PT,21 752 09 60,21 752 09 69,guardamor@guardamor.pt,,
215239,JORGE DO DESERTO,"Rua Moreira de Sá, 15-3º Esqº",4100-352,PORTO,PT,,,,,
215240,SANDRA DEOLINDA M.DA SILVA,Largo do Plaino Nº. 1,2590-417,Sapataria S.M.AGRAÇO,PT,967880496,,,,
215241,Residencial Florescente,"R Portas de Santo Antão, 99",1150-266,Lisboa,PT,,21 342 77 33,,,
215242,MBA MARKETING E BRINDES LDA,"Av. das Túlipas, 6 - 16º C",1495-161,Miraflores-Algés,PT,21 412 56 78,21 412 56 50,lisboa@nobrinde.com,e-mail,
215243,FILIPA FARIA VAZ PASSOS," R. DOM ANTÓNIO RIBEIRO,Nº 5-6º DTO",1495-049,ALGÉS,PT,96 663 45 30,,filipafariavazpassos@gmail.com,e-mail,
215244,GONÇALO VELOSO ABRANTES,"RUA DA HORTA, Nº 2",2565-116,CAMÕES,PT,,,abrantex@gmail.com,,
215245,João de Lima Mayer Alves Moreira,"Rua de Alcolena, nº13,",1400-004,LISBOA,PT,,,,,
215246,"ENGª DA IMAGINAÇÃO, LDA.","PTA JOÃO SILVA MARQUES, 3 R/C FRT",2825-129,VILA NOVA DA CAPARICA,PT,21 294 5795,21 294 5797,lourisom@ip.pt,,
215247,NEDERMAN IBERICA S. A.SUCURSAL EM PORTUGAL,"ALAMEDA DOS OCEANOS,LT.3.15.02-A",1990-197,LISBOA,PT,21 892 34 40,21 892 34 49,branco.martns@nederman.es,,
215248,"APENAS LIVROS, LDA.",ALAMEDA DAS LINHAS DE TOR 97-3º.DTO,1750-140,LISBOA,PT,21 7582285,,,,
215249,CONGRESSO INTERNACIONAL LISBOA 2003RUA JOSÉ LUIS GARCIA RODRIGUES,BAIRRO ALTO DA AJUDA,1300-565,LISBOA,PT,21 361 62 50,21 361 62 59,,,
